CO2,Damper,Occupant
3.070822109,0,None
2.287483528,0,None
6.701207374,0,None
5.400758411,0,None
3.070822109,0,None
2.287483528,0,None
6.701207374,0,None
5.400758411,0,None
3.070822109,0,None
2.287483528,0,None
6.701207374,0,None
5.400758411,0,None
3.07890322,0,None
2.287483528,0,None
6.701207374,0,None
5.400758411,0,None
3.07890322,0,None
2.287483528,0,None
6.701207374,0,None
5.272778354,0,None
3.07890322,0,None
2.326254435,0,None
6.818866242,0,None
5.272778354,0,None
3.07890322,0,None
2.326254435,0,None
6.818866242,0,None
5.272778354,0,None
3.07890322,0,None
2.326254435,0,None
6.818866242,0,None
5.272778354,0,None
3.030416555,0,None
2.326254435,0,None
6.818866242,0,None
5.272778354,0,None
3.030416555,0,None
2.326254435,0,None
6.818866242,0,None
5.400758411,0,None
3.030416555,0,None
2.339178071,0,None
6.765384938,0,None
5.400758411,0,None
3.030416555,0,None
2.339178071,0,None
6.765384938,0,None
5.400758411,0,None
3.030416555,0,None
2.339178071,0,None
6.765384938,0,None
5.400758411,0,None
3.019641741,0,None
2.339178071,0,None
6.765384938,0,None
5.400758411,0,None
3.019641741,0,None
2.339178071,0,None
6.765384938,0,None
5.503142457,0,None
3.019641741,0,None
2.300407163,0,None
6.717251765,0,None
5.503142457,0,None
3.019641741,0,None
2.300407163,0,None
6.717251765,0,None
5.503142457,0,None
3.019641741,0,None
2.300407163,0,None
6.717251765,0,None
5.503142457,0,None
3.062740998,0,None
2.300407163,0,None
6.717251765,0,None
5.503142457,0,None
3.062740998,0,None
2.300407163,0,None
6.631681679,0,None
5.46474844,0,None
3.062740998,0,None
2.274559892,0,None
6.631681679,0,None
5.46474844,0,None
3.062740998,0,None
2.274559892,0,None
6.631681679,0,None
5.46474844,0,None
3.062740998,0,None
2.274559892,0,None
6.631681679,0,None
5.46474844,0,None
3.070822109,0,None
2.274559892,0,None
6.631681679,0,None
5.46474844,0,None
3.070822109,0,None
2.274559892,0,None
6.733296156,0,None
5.349566388,0,None
3.070822109,0,None
2.293945345,0,None
6.733296156,0,None
5.349566388,0,None
3.070822109,0,None
2.293945345,0,None
6.733296156,0,None
5.349566388,0,None
3.070822109,0,None
2.293945345,0,None
6.733296156,0,None
5.349566388,0,None
3.070822109,0,None
2.293945345,0,None
6.733296156,0,None
5.349566388,0,None
3.054659888,0,None
2.293945345,0,None
6.733296156,0,None
5.451950434,0,None
3.054659888,0,None
2.345639888,0,None
6.631681679,0,None
5.451950434,0,None
3.054659888,0,None
2.345639888,0,None
6.631681679,0,None
5.451950434,0,None
3.054659888,0,None
2.345639888,0,None
6.631681679,0,None
5.451950434,0,None
3.054659888,0,None
2.345639888,0,None
6.631681679,0,None
5.451950434,0,None
3.054659888,0,None
2.345639888,0,None
6.631681679,0,None
5.323970377,0,None
3.062740998,0,None
2.300407163,0,None
6.749340547,0,None
5.323970377,0,None
3.062740998,0,None
2.300407163,0,None
6.749340547,0,None
5.323970377,0,None
3.062740998,0,None
2.300407163,0,None
6.749340547,0,None
5.323970377,0,None
3.038497666,0,None
2.300407163,0,None
6.749340547,0,None
5.323970377,0,None
3.038497666,0,None
2.300407163,0,None
6.749340547,0,None
5.400758411,0,None
3.038497666,0,None
2.332716253,0,None
6.64772607,0,None
5.400758411,0,None
3.038497666,0,None
2.332716253,0,None
6.64772607,0,None
5.400758411,0,None
3.038497666,0,None
2.332716253,0,None
6.64772607,0,None
5.400758411,0,None
3.038497666,0,None
2.332716253,0,None
6.64772607,0,None
5.400758411,0,None
3.038497666,0,None
2.332716253,0,None
6.64772607,0,None
5.323970377,0,None
